cancer,100
science,100
blood,100
basketball,100
golf,100
family,99
water,99
video,98
half,98
software,98
aids,98
chocolate,98
culture,97
radio,97
airport,97
christmas,97
english,97
plastic,97
green,97
white,97
dna,97
budget,96
gold,96
address,96
code,96
salt,96
library,96
computer,95
business,95
paper,95
style,95
money,95
violence,95
camera,95
brother,95
heart,95
milk,95
black,95
religion,95
democracy,95
suicide,95
furniture,95
philosophy,95
line,94
language,94
time,94
music,94
school,94
insurance,94
meat,94
coffee,94
hell,94
cheese,94
baseball,94
terrorism,94
protein,94
button,94
salad,94
cake,94
war,93
generation,93
page,93
gas,93
technology,93
service,93
beauty,93
speed,93
beer,93
engineer,93
tobacco,93
fire,92
doctor,92
life,92
government,92
fish,92
one,92
peace,92
quality,92
cream,92
cable,92
nurse,92
governor,92
dance,92
virus,92
butter,92
carbon,92
psychology,92
alcohol,92
album,92
mother,91
art,91
freedom,91
education,91
responsibility,91
group,91
industry,91
hotel,91
century,91
change,91
nature,91
bread,91
island,91
file,91
good (pl),91
fiber,91
telescope,91
sand,91
glass,90
body,90
day,90
weight,90
window,90
office,90
love,90
teacher,90
winter,90
average,90
justice,90
breakfast,90
rice,90
garlic,90
tea,90
soup,90
newspaper,89
source,89
head,89
spring,89
health,89
information,89
experience,89
hospital,89
light,89
food,89
screen,89
nose,89
bone,89
depression,89
psychologist,89
honey,89
divorce,89
revolution,89
senator,89
friendship,89
index,89
iron,89
engineering,89
table,88
father,88
power,88
professor,88
daughter,88
number,88
city,88
senate,88
list,88
hair,88
internet,88
competition,88
grass,88
fishing,88
text,88
secretary,88
neck,88
progress,88
university,88
studio,88
sugar,88
editor,88
bridge,88
bottle,88
flag,88
success,87
development,87
organization,87
oil,87
sex,87
system,87
tv,87
night,87
east,87
treatment,87
design,87
death,87
mouth,87
respect,87
snow,87
club,87
childhood,87
shirt,87
panel,87
horse,87
dust,87
poverty,87
jacket,87
pride,87
satellite,87
juice,87
founder,87
name,86
help,86
college,86
news,86
people,86
book,86
history,86
report,86
sister,86
summer,86
age,86
size,86
company,86
cell,86
box,86
member,86
literature,86
exchange,86
rain,86
surgery,86
park,86
drama,86
concert,86
designer,86
statistics,86
factory,86
wisdom,86
tower,86
marketing,86
director,85
bank,85
south,85
month,85
car,85
police,85
congress,85
judge,85
support,85
garden,85
expert,85
wine,85
abortion,85
protection,85
dark,85
clinic,85
economist,85
mask,85
knife,85
mayor,85
wall,84
interview,84
pressure,84
restaurant,84
market,84
phone,84
law,84
level,84
candidate,84
behavior,84
dog,84
investment,84
fruit,84
lunch,84
analyst,84
map,84
fashion,84
cloud,84
debt,84
journalist,84
prayer,84
camp,84
bus,84
campus,84
metal,84
distance,84
galaxy,84
chip,84
channel,84
birthday,84
silver,84
frequency,84
knowledge,83
project,83
year,83
crime,83
lawyer,83
point,83
capital,83
population,83
shoulder,83
series,83
chicken,83
ring,83
museum,83
minister,83
priority,83
driver,83
army,83
traffic,83
package,83
solution,83
representative,83
infection,83
apple,83
cooperation,83
poetry,83
stability,83
color,82
memory,82
management,82
country,82
property,82
church,82
face,82
version,82
analysis,82
friend,82
production,82
scientist,82
