af	20	part	share
af	27	question	demand
af	34	home	house
af	43	lot	many
af	48	job	work
af	51	issue	edition
af	53	kind	type
af	58	father	dad
af	66	car	vehicle
af	74	kid	child
af	80	others	other
af	81	level	shallow
af	101	force	power
af	110	sense	sentence
af	133	wife	woman
af	135	mind	thought
af	140	view	regard	connection
af	142	town	village
af	143	road	path
af	154	position	ranking
af	160	form	shape
af	162	official	officially
af	163	matter	case
af	164	center	centre
af	166	site	yard	back yard
af	171	need	necessary
af	176	cost	costs
af	212	evidence	proof
af	222	opportunity	event
af	225	condition	state
af	249	board	council
af	251	officer	official	officially
af	254	performance	actions
af	256	goal	target
af	260	author	writer
af	263	nature	earth
af	265	store	shop
af	266	sound	sounds
af	267	movement	motion
af	270	concern	concerns	worries
af	273	response	reaction
af	282	career	profession
af	294	pressure	press
af	302	ability	capacity
af	307	degree	grade
af	310	television	tv
af	315	deal	agreement
af	325	section	article
af	327	skill	dexterity
af	330	operation	surgery
af	335	sort	type
af	336	one	a
af	343	example	for example
af	350	note	bill
af	359	trial	hearing	heard
af	360	expert	specialist
af	380	interview	maintenance
af	381	chair	seat
af	389	production	industry
af	394	style	cancel
af	396	range	variety
af	397	past	last
af	400	trouble	difficulty	effort
af	409	stuff	things
af	410	detail	details
af	421	purpose	target
af	434	yard	back yard
af	456	attorney	lawyer
af	460	audience	heard
af	462	vote	voice
af	478	judge	right
af	479	relation	relationship
af	488	troop	troupe
af	489	income	revenue
af	493	sky	air
af	495	plane	aircraft
af	498	labor	work
af	500	client	customer
af	512	feature	function
af	513	afternoon	noon
af	518	battle	fight
af	519	beginning	start
af	529	stone	rock
af	532	driver	manager
af	533	attempt	effort
af	545	survey	incorporation
af	552	screen	view	regard	connection
af	556	farm	place
af	558	middle	means	mean
af	567	strength	power
af	568	band	group
af	572	guard	wait
af	577	tool	aid	help
af	579	flight	quickly
af	582	advantage	benefit
af	605	claim	requirement
af	608	aspect	thing
af	611	comment	comments
af	612	affair	relationship
af	617	belief	faith
af	642	mistake	error
af	645	location	place
af	648	drive	row
af	650	bone	leg
af	654	means	mean
af	655	learning	leather
af	669	justice	righteousness
af	683	device	appliance
af	686	bottom	underside
af	696	plate	sheet	skin
af	697	writing	write
af	715	leaf	blister
af	716	instruction	assignment
af	718	pool	swimming pool
af	719	lead	slate
af	728	reading	read
af	737	meaning	what means
af	740	weather	again
af	741	commitment	dedication
af	742	pocket	bag
af	747	consequence	result
af	750	sight	eyes
af	756	aid	help
af	758	photograph	photo
af	759	trail	route
af	760	novel	book
af	764	human	man
af	769	thanks	thank you
af	771	conclusion	seal
af	780	county	country
af	782	package	packet
af	783	difficulty	effort
af	786	e-mail	email
af	787	thinking	think
af	797	hearing	heard
af	799	muscle	muscles
af	800	notion	idea
af	802	chest	breast
af	806	emergency	need	necessary
af	807	stress	tension
af	808	content	contents
af	812	setting	environment
af	816	ad	advertisement
af	818	sheet	skin
af	819	extent	degree	grade
af	821	contrast	contrasts
af	824	chief	head
af	831	guide	slate
af	837	soil	ground
af	846	relief	lighting
af	849	manner	wise	show
af	851	rating	gradation
af	854	fee	tip	clue
af	856	bowl	container
af	857	frame	window
af	864	division	section	article
af	865	appeal	appeal in
af	869	topic	subject
af	873	confidence	trust
af	879	coverage	cover
af	886	check	cheque
af	889	expectation	expected
af	891	struggle	fight
af	896	tear	rip
af	897	doubt	doubts
af	909	tip	clue
af	910	welfare	charity
af	911	vegetable	vegetables
af	951	legislation	law
af	952	achievement	performance	actions
af	961	physician	doctor
af	968	alternative	alternatives
af	976	assistance	help
af	978	lab	laboratory
af	992	sir	mr.
am	10	child	son
am	11	world	the world
am	19	hand	manual	instructions
am	20	part	section
am	22	case	issue	subject
am	32	mr	aunt
am	34	home	at home
am	36	room	section
am	40	story	history
am	41	fact	reality
am	48	job	work
am	51	issue	subject
am	52	side	sideways	sides
am	53	kind	good	cool
am	55	house	at home
am	63	end	finish
am	71	team	group
am	74	kid	son
am	77	back	background
am	81	level	step
am	83	door	gate
am	85	person	individual
am	95	girl	daughter
am	96	guy	male
am	98	moment	just a moment	one
