52,time,n
54,year,n
62,people,n
84,way,n
90,day,n
94,man,n
97,thing,n
111,woman,n
114,life,n
115,child,n
123,world,n
125,school,n
137,state,n
147,family,n
157,student,n
163,group,n
166,country,n
171,problem,n
174,hand,n
178,part,n
181,place,n
186,case,n
188,week,n
189,company,n
191,system,n
194,program,n
197,question,n
199,work,n
201,government,n
204,number,n
209,night,n
211,Mr,n
212,point,n
225,home,n
227,water,n
228,room,n
230,mother,n
231,area,n
233,money,n
234,story,n
236,fact,n
237,month,n
239,lot,n
240,right,n
241,study,n
242,book,n
243,eye,n
244,job,n
245,word,n
247,business,n
248,issue,n
249,side,n
250,kind,n
252,head,n
258,house,n
264,service,n
266,friend,n
268,father,n
272,power,n
273,hour,n
274,game,n
277,line,n
279,end,n
286,member,n
288,law,n
290,car,n
291,city,n
297,community,n
299,name,n
304,president,n
308,team,n
309,minute,n
312,idea,n
313,kid,n
314,body,n
315,information,n
323,back,n
328,parent,n
331,face,n
337,others,n
339,level,n
342,office,n
344,door,n
345,health,n
346,person,n
347,art,n
350,war,n
351,history,n
352,party,n
355,result,n
357,change,n
358,morning,n
360,reason,n
363,research,n
364,girl,n
365,guy,n
367,food,n
369,moment,n
371,air,n
372,teacher,n
373,force,n
377,education,n
381,foot,n
383,boy,n
387,age,n
389,policy,n
392,process,n
393,music,n
403,market,n
408,sense,n
413,nation,n
414,plan,n
416,college,n
417,interest,n
418,death,n
421,experience,n
428,effect,n
429,use,n
432,class,n
433,control,n
435,care,n
440,field,n
449,development,n
452,role,n
455,effort,n
458,rate,n
461,heart,n
462,drug,n
463,show,n
464,leader,n
465,light,n
466,voice,n
467,wife,n
469,police,n
470,mind,n
476,price,n
477,report,n
480,decision,n
482,son,n
486,view,n
487,relationship,n
489,town,n
490,road,n
492,arm,n
497,difference,n
500,value,n
502,building,n
503,action,n
505,model,n
507,season,n
508,society,n
510,tax,n
511,director,n
513,position,n
514,player,n
517,record,n
520,paper,n
522,space,n
523,ground,n
524,form,n
526,event,n
527,official,n
529,matter,n
531,center,n
532,couple,n
533,site,n
535,project,n
538,activity,n
539,star,n
540,table,n
541,need,n
542,court,n
545,American,n
547,oil,n
549,situation,n
551,cost,n
552,industry,n
553,figure,n
555,street,n
556,image,n
558,phone,n
560,data,n
563,picture,n
565,practice,n
566,piece,n
567,land,n
570,product,n
571,doctor,n
572,wall,n
573,patient,n
574,worker,n
575,news,n
576,test,n
577,movie,n
579,north,n
580,love,n
583,support,n
586,technology,n
588,step,n
589,baby,n
590,computer,n
591,type,n
592,attention,n
594,film,n
595,Republican,n
596,tree,n
597,source,n
600,organization,n
603,hair,n
604,look,n
606,century,n
607,evidence,n
608,window,n
612,culture,n
614,chance,n
615,brother,n
616,energy,n
617,period,n
618,course,n
619,summer,n
624,plant,n
626,opportunity,n
627,term,n
629,letter,n
630,condition,n
631,choice,n
634,rule,n
635,daughter,n
636,administration,n
637,south,n
638,husband,n
639,Congress,n
640,floor,n
641,campaign,n
642,material,n
643,population,n
645,call,n
646,economy,n
648,hospital,n
649,church,n
652,risk,n
654,fire,n
655,future,n
658,defense,n
661,security,n
662,bank,n
665,west,n
666,sport,n
667,board,n
670,subject,n
671,officer,n
673,rest,n
674,behavior,n
676,performance,n
679,top,n
682,goal,n
683,second,n
684,bed,n
685,order,n
686,author,n
693,blood,n
695,agency,n
697,nature,n
698,color,n
701,store,n
703,sound,n
708,movement,n
709,page,n
717,race,n
718,concern,n
719,series,n
723,language,n
726,response,n
729,animal,n
730,factor,n
731,decade,n
732,article,n
734,east,n
737,artist,n
739,scene,n
